id,value,category
104242,-8,2
104243,-7,3
104244,-6,4
104245,-5,5
104246,-4,6
104247,-3,7
104248,-2,8
104249,-1,9
104250,0,0
104251,1,1
104252,2,2
104253,3,3
104254,4,4
104255,5,5
104256,6,6
104257,7,7
104258,8,8
104259,9,9
104260,10,0
104261,11,1
104262,12,2
104263,13,3
104264,14,4
104265,15,5
104266,16,6
104267,17,7
104268,18,8
104269,19,9
104270,20,0
104271,21,1
104272,22,2
104273,23,3
104274,24,4
104275,25,5
104276,26,6
104277,27,7
104278,28,8
104279,29,9
104280,30,0
104281,31,1
104282,32,2
104283,33,3
104284,34,4
104285,35,5
104286,36,6
104287,37,7
104288,38,8
104289,39,9
104290,40,0
104291,41,1
104292,42,2
104293,43,3
104294,44,4
104295,45,5
104296,46,6
104297,47,7
104298,48,8
104299,49,9
104300,-50,0
104301,-49,1
104302,-48,2
104303,-47,3
104304,-46,4
104305,-45,5
104306,-44,6
104307,-43,7
104308,-42,8
104309,-41,9
104310,-40,0
104311,-39,1
104312,-38,2
104313,-37,3
104314,-36,4
104315,-35,5
104316,-34,6
104317,-33,7
104318,-32,8
104319,-31,9
104320,-30,0
104321,-29,1
104322,-28,2
104323,-27,3
104324,-26,4
104325,-25,5
104326,-24,6
104327,-23,7
104328,-22,8
104329,-21,9
104330,-20,0
104331,-19,1
104332,-18,2
104333,-17,3
104334,-16,4
104335,-15,5
104336,-14,6
104337,-13,7
104338,-12,8
104339,-11,9
104340,-10,0
104341,-9,1
104342,-8,2
104343,-7,3
104344,-6,4
104345,-5,5
104346,-4,6
104347,-3,7
104348,-2,8
104349,-1,9
104350,0,0
104351,1,1
104352,2,2
104353,3,3
104354,4,4
104355,5,5
104356,6,6
104357,7,7
104358,8,8
104359,9,9
104360,10,0
104361,11,1
104362,12,2
104363,13,3
104364,14,4
104365,15,5
104366,16,6
104367,17,7
104368,18,8
104369,19,9
104370,20,0
104371,21,1
104372,22,2
104373,23,3
104374,24,4
104375,25,5
104376,26,6
104377,27,7
104378,28,8
104379,29,9
104380,30,0
104381,31,1
104382,32,2
104383,33,3
104384,34,4
104385,35,5
104386,36,6
104387,37,7
104388,38,8
104389,39,9
104390,40,0
104391,41,1
104392,42,2
104393,43,3
104394,44,4
104395,45,5
104396,46,6
104397,47,7
104398,48,8
104399,49,9
104400,-50,0
104401,-49,1
104402,-48,2
104403,-47,3
104404,-46,4
104405,-45,5
104406,-44,6
104407,-43,7
104408,-42,8
104409,-41,9
104410,-40,0
104411,-39,1
104412,-38,2
104413,-37,3
104414,-36,4
104415,-35,5
104416,-34,6
104417,-33,7
104418,-32,8
104419,-31,9
104420,-30,0
104421,-29,1
104422,-28,2
104423,-27,3
104424,-26,4
104425,-25,5
104426,-24,6
104427,-23,7
104428,-22,8
104429,-21,9
104430,-20,0
104431,-19,1
104432,-18,2
104433,-17,3
104434,-16,4
104435,-15,5
104436,-14,6
104437,-13,7
104438,-12,8
104439,-11,9
104440,-10,0
104441,-9,1
104442,-8,2
104443,-7,3
104444,-6,4
104445,-5,5
104446,-4,6
104447,-3,7
104448,-2,8
104449,-1,9
104450,0,0
104451,1,1
104452,2,2
104453,3,3
104454,4,4
104455,5,5
104456,6,6
104457,7,7
104458,8,8
104459,9,9
104460,10,0
104461,11,1
104462,12,2
104463,13,3
104464,14,4
104465,15,5
104466,16,6
104467,17,7
104468,18,8
104469,19,9
104470,20,0
104471,21,1
104472,22,2
104473,23,3
104474,24,4
104475,25,5
104476,26,6
104477,27,7
104478,28,8
104479,29,9
104480,30,0
104481,31,1
104482,32,2
104483,33,3
104484,34,4
104485,35,5
104486,36,6
104487,37,7
104488,38,8
104489,39,9
104490,40,0
104491,41,1
104492,42,2
104493,43,3
104494,44,4
104495,45,5
104496,46,6
104497,47,7
104498,48,8
104499,49,9
104500,-50,0
104501,-49,1
104502,-48,2
104503,-47,3
104504,-46,4
104505,-45,5
104506,-44,6
104507,-43,7
104508,-42,8
104509,-41,9
104510,-40,0
104511,-39,1
104512,-38,2
104513,-37,3
104514,-36,4
104515,-35,5
104516,-34,6
104517,-33,7
104518,-32,8
104519,-31,9
104520,-30,0
104521,-29,1
104522,-28,2
104523,-27,3
104524,-26,4
104525,-25,5
104526,-24,6
104527,-23,7
104528,-22,8
104529,-21,9
104530,-20,0
104531,-19,1
104532,-18,2
104533,-17,3
104534,-16,4
104535,-15,5
104536,-14,6
104537,-13,7
104538,-12,8
104539,-11,9
104540,-10,0
104541,-9,1
104542,-8,2
104543,-7,3
104544,-6,4
104545,-5,5
104546,-4,6
104547,-3,7
104548,-2,8
104549,-1,9
104550,0,0
104551,1,1
104552,2,2
104553,3,3
104554,4,4
104555,5,5
104556,6,6
104557,7,7
104558,8,8
104559,9,9
104560,10,0
104561,11,1
104562,12,2
104563,13,3
104564,14,4
104565,15,5
104566,16,6
104567,17,7
104568,18,8
104569,19,9
104570,20,0
104571,21,1
104572,22,2
104573,23,3
104574,24,4
104575,25,5
104576,26,6
104577,27,7
104578,28,8
104579,29,9
104580,30,0
104581,31,1
104582,32,2
104583,33,3
104584,34,4
104585,35,5
104586,36,6
104587,37,7
104588,38,8
104589,39,9
104590,40,0
104591,41,1
104592,42,2
104593,43,3
104594,44,4
104595,45,5
104596,46,6
104597,47,7
104598,48,8
104599,49,9
104600,-50,0
104601,-49,1
104602,-48,2
104603,-47,3
104604,-46,4
104605,-45,5
104606,-44,6
104607,-43,7
104608,-42,8
104609,-41,9
104610,-40,0
104611,-39,1
104612,-38,2
104613,-37,3
104614,-36,4
104615,-35,5
104616,-34,6
104617,-33,7
104618,-32,8
104619,-31,9
104620,-30,0
104621,-29,1
104622,-28,2
104623,-27,3
104624,-26,4
104625,-25,5
104626,-24,6
104627,-23,7
104628,-22,8
104629,-21,9
104630,-20,0
104631,-19,1
104632,-18,2
104633,-17,3
104634,-16,4
104635,-15,5
104636,-14,6
104637,-13,7
104638,-12,8
104639,-11,9
104640,-10,0
104641,-9,1
104642,-8,2
104643,-7,3
104644,-6,4
104645,-5,5
104646,-4,6
104647,-3,7
104648,-2,8
104649,-1,9
104650,0,0
104651,1,1
104652,2,2
104653,3,3
104654,4,4
104655,5,5
104656,6,6
104657,7,7
104658,8,8
104659,9,9
104660,10,0
104661,11,1
104662,12,2
104663,13,3
104664,14,4
104665,15,5
104666,16,6
104667,17,7
104668,18,8
104669,19,9
104670,20,0
104671,21,1
104672,22,2
104673,23,3
104674,24,4
104675,25,5
104676,26,6
104677,27,7
104678,28,8
104679,29,9
104680,30,0
104681,31,1
104682,32,2
104683,33,3
104684,34,4
104685,35,5
104686,36,6
104687,37,7
104688,38,8
104689,39,9
104690,40,0
104691,41,1
104692,42,2
104693,43,3
104694,44,4
104695,45,5
104696,46,6
104697,47,7
104698,48,8
104699,49,9
104700,-50,0
104701,-49,1
104702,-48,2
104703,-47,3
104704,-46,4
104705,-45,5
104706,-44,6
104707,-43,7
104708,-42,8
104709,-41,9
104710,-40,0
104711,-39,1
104712,-38,2
104713,-37,3
104714,-36,4
104715,-35,5
104716,-34,6
104717,-33,7
104718,-32,8
104719,-31,9
104720,-30,0
104721,-29,1
104722,-28,2
104723,-27,3
104724,-26,4
104725,-25,5
104726,-24,6
104727,-23,7
104728,-22,8
104729,-21,9
104730,-20,0
104731,-19,1
104732,-18,2
104733,-17,3
104734,-16,4
104735,-15,5
104736,-14,6
104737,-13,7
104738,-12,8
104739,-11,9
104740,-10,0
104741,-9,1
104742,-8,2
104743,-7,3
104744,-6,4
104745,-5,5
104746,-4,6
104747,-3,7
104748,-2,8
104749,-1,9
104750,0,0
104751,1,1
104752,2,2
104753,3,3
104754,4,4
104755,5,5
104756,6,6
104757,7,7
104758,8,8
104759,9,9
104760,10,0
104761,11,1
104762,12,2
104763,13,3
104764,14,4
104765,15,5
104766,16,6
104767,17,7
104768,18,8
104769,19,9
104770,20,0
104771,21,1
104772,22,2
104773,23,3
104774,24,4
104775,25,5
104776,26,6
104777,27,7
104778,28,8
104779,29,9
104780,30,0
104781,31,1
104782,32,2
104783,33,3
104784,34,4
104785,35,5
104786,36,6
104787,37,7
104788,38,8
104789,39,9
104790,40,0
104791,41,1
104792,42,2
104793,43,3
104794,44,4
104795,45,5
104796,46,6
104797,47,7
104798,48,8
104799,49,9
104800,-50,0
104801,-49,1
104802,-48,2
104803,-47,3
104804,-46,4
104805,-45,5
104806,-44,6
104807,-43,7
104808,-42,8
104809,-41,9
104810,-40,0
104811,-39,1
104812,-38,2
104813,-37,3
104814,-36,4
104815,-35,5
104816,-34,6
104817,-33,7
104818,-32,8
104819,-31,9
104820,-30,0
104821,-29,1
104822,-28,2
104823,-27,3
104824,-26,4
104825,-25,5
104826,-24,6
104827,-23,7
104828,-22,8
104829,-21,9
104830,-20,0
104831,-19,1
104832,-18,2
104833,-17,3
104834,-16,4
104835,-15,5
104836,-14,6
104837,-13,7
104838,-12,8
104839,-11,9
104840,-10,0
104841,-9,1
104842,-8,2
104843,-7,3
104844,-6,4
104845,-5,5
104846,-4,6
104847,-3,7
104848,-2,8
104849,-1,9
104850,0,0
104851,1,1
104852,2,2
104853,3,3
104854,4,4
104855,5,5
104856,6,6
104857,7,7
104858,8,8
104859,9,9
104860,10,0
104861,11,1
104862,12,2
104863,13,3
104864,14,4
104865,15,5
104866,16,6
104867,17,7
104868,18,8
104869,19,9
104870,20,0
104871,21,1
104872,22,2
104873,23,3
104874,24,4
104875,25,5
104876,26,6
104877,27,7
104878,28,8
104879,29,9
104880,30,0
104881,31,1
104882,32,2
104883,33,3
104884,34,4
104885,35,5
104886,36,6
104887,37,7
104888,38,8
104889,39,9
104890,40,0
104891,41,1
104892,42,2
104893,43,3
104894,44,4
104895,45,5
104896,46,6
104897,47,7
104898,48,8
104899,49,9
104900,-50,0
104901,-49,1
104902,-48,2
104903,-47,3
104904,-46,4
104905,-45,5
104906,-44,6
104907,-43,7
104908,-42,8
104909,-41,9
104910,-40,0
104911,-39,1
104912,-38,2
104913,-37,3
104914,-36,4
104915,-35,5
104916,-34,6
104917,-33,7
104918,-32,8
104919,-31,9
104920,-30,0
104921,-29,1
104922,-28,2
104923,-27,3
104924,-26,4
104925,-25,5
104926,-24,6
104927,-23,7
104928,-22,8
104929,-21,9
104930,-20,0
104931,-19,1
104932,-18,2
104933,-17,3
104934,-16,4
104935,-15,5
104936,-14,6
104937,-13,7
104938,-12,8
104939,-11,9
104940,-10,0
104941,-9,1
104942,-8,2
104943,-7,3
104944,-6,4
104945,-5,5
104946,-4,6
104947,-3,7
104948,-2,8
104949,-1,9
104950,0,0
104951,1,1
104952,2,2
104953,3,3
104954,4,4
104955,5,5
104956,6,6
104957,7,7
104958,8,8
104959,9,9
104960,10,0
104961,11,1
104962,12,2
104963,13,3
104964,14,4
104965,15,5
104966,16,6
104967,17,7
104968,18,8
104969,19,9
104970,20,0
104971,21,1
104972,22,2
104973,23,3
104974,24,4
104975,25,5
104976,26,6
104977,27,7
104978,28,8
104979,29,9
104980,30,0
104981,31,1
104982,32,2
104983,33,3
104984,34,4
104985,35,5
104986,36,6
104987,37,7
104988,38,8
104989,39,9
104990,40,0
104991,41,1
104992,42,2
104993,43,3
104994,44,4
104995,45,5
104996,46,6
104997,47,7
104998,48,8
104999,49,9
105000,-50,0
105001,-49,1
105002,-48,2
105003,-47,3
105004,-46,4
105005,-45,5
105006,-44,6
105007,-43,7
105008,-42,8
105009,-41,9
105010,-40,0
105011,-39,1
105012,-38,2
105013,-37,3
105014,-36,4
105015,-35,5
105016,-34,6
105017,-33,7
105018,-32,8
105019,-31,9
105020,-30,0
105021,-29,1
105022,-28,2
105023,-27,3
105024,-26,4
105025,-25,5
105026,-24,6
105027,-23,7
105028,-22,8
105029,-21,9
105030,-20,0
105031,-19,1
105032,-18,2
105033,-17,3
105034,-16,4
105035,-15,5
105036,-14,6
105037,-13,7
105038,-12,8
105039,-11,9
105040,-10,0
105041,-9,1
105042,-8,2
105043,-7,3
105044,-6,4
105045,-5,5
105046,-4,6
105047,-3,7
105048,-2,8
105049,-1,9
105050,0,0
105051,1,1
105052,2,2
105053,3,3
105054,4,4
105055,5,5
105056,6,6
105057,7,7
105058,8,8
105059,9,9
105060,10,0
105061,11,1
105062,12,2
105063,13,3
105064,14,4
105065,15,5
105066,16,6
105067,17,7
105068,18,8
105069,19,9
105070,20,0
105071,21,1
105072,22,2
105073,23,3
105074,24,4
105075,25,5
105076,26,6
105077,27,7
105078,28,8
105079,29,9
105080,30,0
105081,31,1
105082,32,2
105083,33,3
105084,34,4
105085,35,5
105086,36,6
105087,37,7
105088,38,8
105089,39,9
105090,40,0
105091,41,1
105092,42,2
105093,43,3
105094,44,4
105095,45,5
105096,46,6
105097,47,7
105098,48,8
105099,49,9
105100,-50,0
105101,-49,1
105102,-48,2
105103,-47,3
105104,-46,4
105105,-45,5
105106,-44,6
105107,-43,7
105108,-42,8
105109,-41,9
105110,-40,0
105111,-39,1
105112,-38,2
105113,-37,3
105114,-36,4
105115,-35,5
105116,-34,6
105117,-33,7
105118,-32,8
105119,-31,9
105120,-30,0
105121,-29,1
105122,-28,2
105123,-27,3
105124,-26,4
105125,-25,5
105126,-24,6
105127,-23,7
105128,-22,8
105129,-21,9
105130,-20,0
105131,-19,1
105132,-18,2
105133,-17,3
105134,-16,4
105135,-15,5
105136,-14,6
105137,-13,7
105138,-12,8
105139,-11,9
105140,-10,0
105141,-9,1
105142,-8,2
105143,-7,3
105144,-6,4
105145,-5,5
105146,-4,6
105147,-3,7
105148,-2,8
105149,-1,9
105150,0,0
105151,1,1
105152,2,2
105153,3,3
105154,4,4
105155,5,5
105156,6,6
105157,7,7
105158,8,8
105159,9,9
105160,10,0
105161,11,1
105162,12,2
105163,13,3
105164,14,4
105165,15,5
105166,16,6
105167,17,7
105168,18,8
105169,19,9
105170,20,0
105171,21,1
105172,22,2
105173,23,3
105174,24,4
105175,25,5
105176,26,6
105177,27,7
105178,28,8
105179,29,9
105180,30,0
105181,31,1
105182,32,2
105183,33,3
105184,34,4
105185,35,5
105186,36,6
105187,37,7
105188,38,8
105189,39,9
105190,40,0
105191,41,1
105192,42,2
105193,43,3
105194,44,4
105195,45,5
105196,46,6
105197,47,7
105198,48,8
105199,49,9
105200,-50,0
105201,-49,1
105202,-48,2
105203,-47,3
105204,-46,4
105205,-45,5
105206,-44,6
105207,-43,7
105208,-42,8
105209,-41,9
105210,-40,0
105211,-39,1
105212,-38,2
105213,-37,3
105214,-36,4
105215,-35,5
105216,-34,6
105217,-33,7
105218,-32,8
105219,-31,9
105220,-30,0
105221,-29,1
105222,-28,2
105223,-27,3
105224,-26,4
105225,-25,5
105226,-24,6
105227,-23,7
105228,-22,8
105229,-21,9
105230,-20,0
105231,-19,1
105232,-18,2
105233,-17,3
105234,-16,4
105235,-15,5
105236,-14,6
105237,-13,7
105238,-12,8
105239,-11,9
105240,-10,0
105241,-9,1
105242,-8,2
105243,-7,3
105244,-6,4
105245,-5,5
105246,-4,6
105247,-3,7
105248,-2,8
105249,-1,9
105250,0,0
105251,1,1
105252,2,2
105253,3,3
105254,4,4
105255,5,5
105256,6,6
105257,7,7
105258,8,8
105259,9,9
105260,10,0
105261,11,1
105262,12,2
105263,13,3
105264,14,4
105265,15,5
105266,16,6
105267,17,7
105268,18,8
105269,19,9
105270,20,0
105271,21,1
105272,22,2
105273,23,3
105274,24,4
105275,25,5
105276,26,6
105277,27,7
105278,28,8
105279,29,9
105280,30,0
105281,31,1
105282,32,2
105283,33,3
105284,34,4
105285,35,5
105286,36,6
105287,37,7
105288,38,8
105289,39,9
105290,40,0
105291,41,1
105292,42,2
105293,43,3
105294,44,4
105295,45,5
105296,46,6
105297,47,7
105298,48,8
105299,49,9
105300,-50,0
105301,-49,1
105302,-48,2
105303,-47,3
105304,-46,4
105305,-45,5
105306,-44,6
105307,-43,7
105308,-42,8
105309,-41,9
105310,-40,0
105311,-39,1
105312,-38,2
105313,-37,3
105314,-36,4
105315,-35,5
105316,-34,6
105317,-33,7
105318,-32,8
105319,-31,9
105320,-30,0
105321,-29,1
105322,-28,2
105323,-27,3
105324,-26,4
105325,-25,5
105326,-24,6
105327,-23,7
105328,-22,8
105329,-21,9
105330,-20,0
105331,-19,1
105332,-18,2
105333,-17,3
105334,-16,4
105335,-15,5
105336,-14,6
105337,-13,7
105338,-12,8
105339,-11,9
105340,-10,0
105341,-9,1
105342,-8,2
105343,-7,3
105344,-6,4
105345,-5,5
105346,-4,6
105347,-3,7
105348,-2,8
105349,-1,9
105350,0,0
105351,1,1
105352,2,2
105353,3,3
105354,4,4
105355,5,5
105356,6,6
105357,7,7
105358,8,8
105359,9,9
105360,10,0
105361,11,1
105362,12,2
105363,13,3
105364,14,4
105365,15,5
105366,16,6
105367,17,7
105368,18,8
105369,19,9
105370,20,0
105371,21,1
105372,22,2
105373,23,3
105374,24,4
105375,25,5
105376,26,6
105377,27,7
105378,28,8
105379,29,9
105380,30,0
105381,31,1
105382,32,2
105383,33,3
105384,34,4
105385,35,5
105386,36,6
105387,37,7
105388,38,8
105389,39,9
105390,40,0
105391,41,1
105392,42,2
105393,43,3
105394,44,4
105395,45,5
105396,46,6
105397,47,7
105398,48,8
105399,49,9
105400,-50,0
105401,-49,1
105402,-48,2
105403,-47,3
105404,-46,4
105405,-45,5
105406,-44,6
105407,-43,7
105408,-42,8
105409,-41,9
105410,-40,0
105411,-39,1
105412,-38,2
105413,-37,3
105414,-36,4
105415,-35,5
105416,-34,6
105417,-33,7
105418,-32,8
105419,-31,9
105420,-30,0
105421,-29,1
105422,-28,2
105423,-27,3
105424,-26,4
105425,-25,5
105426,-24,6
105427,-23,7
105428,-22,8
105429,-21,9
105430,-20,0
105431,-19,1
105432,-18,2
105433,-17,3
105434,-16,4
105435,-15,5
105436,-14,6
105437,-13,7
105438,-12,8
105439,-11,9
105440,-10,0
105441,-9,1
105442,-8,2
105443,-7,3
105444,-6,4
105445,-5,5
105446,-4,6
105447,-3,7
105448,-2,8
105449,-1,9
105450,0,0
105451,1,1
105452,2,2
105453,3,3
105454,4,4
105455,5,5
105456,6,6
105457,7,7
105458,8,8
105459,9,9
105460,10,0
105461,11,1
105462,12,2
105463,13,3
105464,14,4
105465,15,5
105466,16,6
105467,17,7
105468,18,8
105469,19,9
105470,20,0
105471,21,1
105472,22,2
105473,23,3
105474,24,4
105475,25,5
105476,26,6
105477,27,7
105478,28,8
105479,29,9
105480,30,0
105481,31,1
105482,32,2
105483,33,3
105484,34,4
105485,35,5
105486,36,6
105487,37,7
105488,38,8
105489,39,9
105490,40,0
105491,41,1
105492,42,2
105493,43,3
105494,44,4
105495,45,5
105496,46,6
105497,47,7
105498,48,8
105499,49,9
105500,-50,0
105501,-49,1
105502,-48,2
105503,-47,3
105504,-46,4
105505,-45,5
105506,-44,6
105507,-43,7
105508,-42,8
105509,-41,9
105510,-40,0
105511,-39,1
105512,-38,2
105513,-37,3
105514,-36,4
105515,-35,5
105516,-34,6
105517,-33,7
105518,-32,8
105519,-31,9
105520,-30,0
105521,-29,1
105522,-28,2
105523,-27,3
105524,-26,4
105525,-25,5
105526,-24,6
105527,-23,7
105528,-22,8
105529,-21,9
105530,-20,0
105531,-19,1
105532,-18,2
105533,-17,3
105534,-16,4
105535,-15,5
105536,-14,6
105537,-13,7
105538,-12,8
105539,-11,9
105540,-10,0
105541,-9,1
105542,-8,2
105543,-7,3
105544,-6,4
105545,-5,5
105546,-4,6
105547,-3,7
105548,-2,8
105549,-1,9
105550,0,0
105551,1,1
105552,2,2
105553,3,3
105554,4,4
105555,5,5
105556,6,6
105557,7,7
105558,8,8
105559,9,9
105560,10,0
105561,11,1
105562,12,2
105563,13,3
105564,14,4
105565,15,5
105566,16,6
105567,17,7
105568,18,8
105569,19,9
105570,20,0
105571,21,1
105572,22,2
105573,23,3
105574,24,4
105575,25,5
105576,26,6
105577,27,7
105578,28,8
105579,29,9
105580,30,0
105581,31,1
105582,32,2
105583,33,3
105584,34,4
105585,35,5
105586,36,6
105587,37,7
105588,38,8
105589,39,9
105590,40,0
105591,41,1
105592,42,2
105593,43,3
105594,44,4
105595,45,5
105596,46,6
105597,47,7
105598,48,8
105599,49,9
105600,-50,0
105601,-49,1
105602,-48,2
105603,-47,3
105604,-46,4
105605,-45,5
105606,-44,6
105607,-43,7
105608,-42,8
105609,-41,9
105610,-40,0
105611,-39,1
105612,-38,2
105613,-37,3
105614,-36,4
105615,-35,5
105616,-34,6
105617,-33,7
105618,-32,8
105619,-31,9
105620,-30,0
105621,-29,1
105622,-28,2
105623,-27,3
105624,-26,4
105625,-25,5
105626,-24,6
105627,-23,7
105628,-22,8
105629,-21,9
105630,-20,0
105631,-19,1
105632,-18,2
105633,-17,3
105634,-16,4
105635,-15,5
105636,-14,6
105637,-13,7
105638,-12,8
105639,-11,9
105640,-10,0
105641,-9,1
105642,-8,2
105643,-7,3
105644,-6,4
105645,-5,5
105646,-4,6
105647,-3,7
105648,-2,8
105649,-1,9
105650,0,0
105651,1,1
105652,2,2
105653,3,3
105654,4,4
105655,5,5
105656,6,6
105657,7,7
105658,8,8
105659,9,9
105660,10,0
105661,11,1
105662,12,2
105663,13,3
105664,14,4
105665,15,5
105666,16,6
105667,17,7
105668,18,8
105669,19,9
105670,20,0
105671,21,1
105672,22,2
105673,23,3
105674,24,4
105675,25,5
105676,26,6
105677,27,7
105678,28,8
105679,29,9
105680,30,0
105681,31,1
105682,32,2
105683,33,3
105684,34,4
105685,35,5
105686,36,6
105687,37,7
105688,38,8
105689,39,9
105690,40,0
105691,41,1
105692,42,2
105693,43,3
105694,44,4
105695,45,5
105696,46,6
105697,47,7
105698,48,8
105699,49,9
105700,-50,0
105701,-49,1
105702,-48,2
105703,-47,3
105704,-46,4
105705,-45,5
105706,-44,6
105707,-43,7
105708,-42,8
105709,-41,9
105710,-40,0
105711,-39,1
105712,-38,2
105713,-37,3
105714,-36,4
105715,-35,5
105716,-34,6
105717,-33,7
105718,-32,8
105719,-31,9
105720,-30,0
105721,-29,1
105722,-28,2
105723,-27,3
105724,-26,4
105725,-25,5
105726,-24,6
105727,-23,7
105728,-22,8
105729,-21,9
105730,-20,0
105731,-19,1
105732,-18,2
105733,-17,3
105734,-16,4
105735,-15,5
105736,-14,6
105737,-13,7
105738,-12,8
105739,-11,9
105740,-10,0
105741,-9,1
105742,-8,2
105743,-7,3
105744,-6,4
105745,-5,5
105746,-4,6
105747,-3,7
105748,-2,8
105749,-1,9
105750,0,0
105751,1,1
105752,2,2
105753,3,3
105754,4,4
105755,5,5
105756,6,6
105757,7,7
105758,8,8
105759,9,9
105760,10,0
105761,11,1
105762,12,2
105763,13,3
105764,14,4
105765,15,5
105766,16,6
105767,17,7
105768,18,8
105769,19,9
105770,20,0
105771,21,1
105772,22,2
105773,23,3
105774,24,4
105775,25,5
105776,26,6
105777,27,7
105778,28,8
105779,29,9
105780,30,0
105781,31,1
105782,32,2
105783,33,3
105784,34,4
105785,35,5
105786,36,6
105787,37,7
105788,38,8
105789,39,9
105790,40,0
105791,41,1
105792,42,2
105793,43,3
105794,44,4
105795,45,5
105796,46,6
105797,47,7
105798,48,8
105799,49,9
105800,-50,0
105801,-49,1
105802,-48,2
105803,-47,3
105804,-46,4
105805,-45,5
105806,-44,6
105807,-43,7
105808,-42,8
105809,-41,9
105810,-40,0
105811,-39,1
105812,-38,2
105813,-37,3
105814,-36,4
105815,-35,5
105816,-34,6
105817,-33,7
105818,-32,8
105819,-31,9
105820,-30,0
105821,-29,1
105822,-28,2
105823,-27,3
105824,-26,4
105825,-25,5
105826,-24,6
105827,-23,7
105828,-22,8
105829,-21,9
105830,-20,0
105831,-19,1
105832,-18,2
105833,-17,3
105834,-16,4
105835,-15,5
105836,-14,6
105837,-13,7
105838,-12,8
105839,-11,9
105840,-10,0
105841,-9,1
105842,-8,2
105843,-7,3
105844,-6,4
105845,-5,5
105846,-4,6
105847,-3,7
105848,-2,8
105849,-1,9
105850,0,0
105851,1,1
105852,2,2
105853,3,3
105854,4,4
105855,5,5
105856,6,6
105857,7,7
105858,8,8
105859,9,9
105860,10,0
105861,11,1
105862,12,2
105863,13,3
105864,14,4
105865,15,5
105866,16,6
105867,17,7
105868,18,8
105869,19,9
105870,20,0
105871,21,1
105872,22,2
105873,23,3
105874,24,4
105875,25,5
105876,26,6
105877,27,7
105878,28,8
105879,29,9
105880,30,0
105881,31,1
105882,32,2
105883,33,3
105884,34,4
105885,35,5
105886,36,6
105887,37,7
105888,38,8
105889,39,9
105890,40,0
105891,41,1
105892,42,2
105893,43,3
105894,44,4
105895,45,5
105896,46,6
105897,47,7
105898,48,8
105899,49,9
105900,-50,0
105901,-49,1
105902,-48,2
105903,-47,3
105904,-46,4
105905,-45,5
105906,-44,6
105907,-43,7
105908,-42,8
105909,-41,9
105910,-40,0
105911,-39,1
105912,-38,2
105913,-37,3
105914,-36,4
105915,-35,5
105916,-34,6
105917,-33,7
105918,-32,8
105919,-31,9
105920,-30,0
105921,-29,1
105922,-28,2
105923,-27,3
105924,-26,4
105925,-25,5
105926,-24,6
105927,-23,7
105928,-22,8
105929,-21,9
105930,-20,0
105931,-19,1
105932,-18,2
105933,-17,3
105934,-16,4
105935,-15,5
105936,-14,6
105937,-13,7
105938,-12,8
105939,-11,9
105940,-10,0
105941,-9,1
105942,-8,2
105943,-7,3
105944,-6,4
105945,-5,5
105946,-4,6
105947,-3,7
105948,-2,8
105949,-1,9
105950,0,0
105951,1,1
105952,2,2
105953,3,3
105954,4,4
105955,5,5
105956,6,6
105957,7,7
105958,8,8
105959,9,9
105960,10,0
105961,11,1
105962,12,2
105963,13,3
105964,14,4
105965,15,5
105966,16,6
105967,17,7
105968,18,8
105969,19,9
105970,20,0
105971,21,1
105972,22,2
105973,23,3
105974,24,4
105975,25,5
105976,26,6
105977,27,7
105978,28,8
105979,29,9
105980,30,0
105981,31,1
105982,32,2
105983,33,3
105984,34,4
105985,35,5
105986,36,6
105987,37,7
105988,38,8
105989,39,9
105990,40,0
105991,41,1
105992,42,2
105993,43,3
105994,44,4
105995,45,5
105996,46,6
105997,47,7
105998,48,8
105999,49,9
106000,-50,0
106001,-49,1
106002,-48,2
106003,-47,3
106004,-46,4
106005,-45,5
106006,-44,6
106007,-43,7
106008,-42,8
106009,-41,9
106010,-40,0
106011,-39,1
106012,-38,2
106013,-37,3
106014,-36,4
106015,-35,5
106016,-34,6
106017,-33,7
106018,-32,8
106019,-31,9
106020,-30,0
106021,-29,1
106022,-28,2
106023,-27,3
106024,-26,4
106025,-25,5
106026,-24,6
106027,-23,7
106028,-22,8
106029,-21,9
106030,-20,0
106031,-19,1
106032,-18,2
106033,-17,3
106034,-16,4
106035,-15,5
106036,-14,6
106037,-13,7
106038,-12,8
106039,-11,9
106040,-10,0
106041,-9,1
106042,-8,2
106043,-7,3
106044,-6,4
106045,-5,5
106046,-4,6
106047,-3,7
106048,-2,8
106049,-1,9
106050,0,0
106051,1,1
106052,2,2
106053,3,3
106054,4,4
106055,5,5
106056,6,6
106057,7,7
106058,8,8
106059,9,9
106060,10,0
106061,11,1
106062,12,2
106063,13,3
106064,14,4
106065,15,5
106066,16,6
106067,17,7
106068,18,8
106069,19,9
106070,20,0
106071,21,1
106072,22,2
106073,23,3
106074,24,4
106075,25,5
106076,26,6
106077,27,7
106078,28,8
106079,29,9
106080,30,0
106081,31,1
106082,32,2
106083,33,3
106084,34,4
106085,35,5
106086,36,6
106087,37,7
106088,38,8
106089,39,9
106090,40,0
106091,41,1
106092,42,2
106093,43,3
106094,44,4
106095,45,5
106096,46,6
106097,47,7
106098,48,8
106099,49,9
106100,-50,0
106101,-49,1
106102,-48,2
106103,-47,3
106104,-46,4
106105,-45,5
106106,-44,6
106107,-43,7
106108,-42,8
106109,-41,9
